UNIFAC_Group

Table III Rk and Qk Parameters and Group Assignment for the Modified UNIFAC (Dortmund) Method

maingrp        subgrp     no        Rk            Qk
1              CH3        1         0.6325        1.0608
1              CH2        2         0.6325        0.7081
1              CH         3         0.6325        0.3554
1              C          4         0.6325        0.0000
5              OH_p       14        1.2302        0.8927
5              OH_s       81        1.0630        0.8663
5              OH_t       82        0.6895        0.8345
7              H2O        16        1.7334        2.4561
14             CH3NH2     28        1.6607        1.6904
14             CH2NH2     29        1.6607        1.3377
14             CHNH2      30        1.6607        0.9850
14             CNH2       85        1.6607        0.9850
15             CH3NH      31        1.3680        1.4332
15             CH2NH      32        1.3680        1.0805
15             CHNH       33        1.3680        0.8278
